2026-01-11T04:34:19.000000000Z [inf]  Starting Container
2026-01-11T04:34:21.640866951Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/config.py", line 436, in load
2026-01-11T04:34:21.640871369Z [err]      self.loaded_app = import_from_string(self.app)
2026-01-11T04:34:21.640876140Z [err]                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640881008Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/importer.py", line 19, in import_from_string
2026-01-11T04:34:21.640886070Z [err]      module = importlib.import_module(module_str)
2026-01-11T04:34:21.640890581Z [err]               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640895830Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2026-01-11T04:34:21.640900661Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2026-01-11T04:34:21.640905660Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640910901Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2026-01-11T04:34:21.640915357Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2026-01-11T04:34:21.640920092Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2026-01-11T04:34:21.640924638Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2026-01-11T04:34:21.640929290Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2026-01-11T04:34:21.640934026Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2026-01-11T04:34:21.640939567Z [err]    File "/app/app/main.py", line 4, in <module>
2026-01-11T04:34:21.640944311Z [err]      from app.api import router
2026-01-11T04:34:21.640950436Z [err]    File "/app/app/api/__init__.py", line 6, in <module>
2026-01-11T04:34:21.640955896Z [err]      from app.channels.telegram.webhook import router as telegram_router
2026-01-11T04:34:21.640960296Z [err]    File "/app/app/channels/telegram/__init__.py", line 11, in <module>
2026-01-11T04:34:21.640965326Z [err]      from .handler import TelegramChannel
2026-01-11T04:34:21.640970667Z [err]    File "/app/app/channels/telegram/handler.py", line 13, in <module>
2026-01-11T04:34:21.640975401Z [err]      from app.config import settings
2026-01-11T04:34:21.640980564Z [err]    File "/app/app/config.py", line 125, in <module>
2026-01-11T04:34:21.640985214Z [err]      settings: Settings = get_settings()
2026-01-11T04:34:21.640990989Z [err]                           ^^^^^^^^^^^^^^
2026-01-11T04:34:21.640995909Z [err]    File "/app/app/config.py", line 122, in get_settings
2026-01-11T04:34:21.641000384Z [err]      return Settings()
2026-01-11T04:34:21.641005094Z [err]             ^^^^^^^^^^
2026-01-11T04:34:21.641009757Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic_settings/main.py", line 188, in __init__
2026-01-11T04:34:21.641014744Z [err]      super().__init__(
2026-01-11T04:34:21.641019944Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic/main.py", line 253, in __init__
2026-01-11T04:34:21.641024424Z [err]      validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
2026-01-11T04:34:21.641029194Z [err]                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.641033801Z [err]  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.641038787Z [err]  pydantic_core._pydantic_core.ValidationError: 1 validation error for Settings
2026-01-11T04:34:21.641043694Z [err]  PAGE_ID
2026-01-11T04:34:21.641048535Z [err]    Field required [type=missing, input_value={'INSTAGRAM_ACCESS_TOKEN'... 'AGENT_MODE': 'social'}, input_type=dict]
2026-01-11T04:34:21.641055924Z [err]      For further information visit https://errors.pydantic.dev/2.11/v/missing
2026-01-11T04:34:23.329248604Z [inf]  >> imported app.api root
2026-01-11T04:34:23.409349848Z [err]  Traceback (most recent call last):
2026-01-11T04:34:23.409357863Z [err]    File "/usr/local/bin/uvicorn", line 8, in <module>
2026-01-11T04:34:23.409363511Z [err]      sys.exit(main())
2026-01-11T04:34:23.409368842Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.409369910Z [err]               ^^^^^^
2026-01-11T04:34:23.409375425Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1485, in __call__
2026-01-11T04:34:23.409380815Z [err]      return self.main(*args, **kwargs)
2026-01-11T04:34:23.409386528Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.409391402Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 824, in invoke
2026-01-11T04:34:23.409393816Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1406, in main
2026-01-11T04:34:23.409398983Z [err]      rv = self.invoke(ctx)
2026-01-11T04:34:23.409403485Z [err]           ^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.409408445Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1269, in invoke
2026-01-11T04:34:23.409413028Z [err]      return ctx.invoke(self.callback, **ctx.params)
2026-01-11T04:34:23.410532600Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 190, in run
2026-01-11T04:34:23.410543572Z [err]      return runner.run(main)
2026-01-11T04:34:23.410545643Z [err]      return callback(*args, **kwargs)
2026-01-11T04:34:23.410552264Z [err]             ^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.410556977Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.410560217Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 118, in run
2026-01-11T04:34:23.410565253Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 413, in main
2026-01-11T04:34:23.410568137Z [err]      return self._loop.run_until_complete(task)
2026-01-11T04:34:23.410572953Z [err]      run(
2026-01-11T04:34:23.410580315Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 580, in run
2026-01-11T04:34:23.410585954Z [err]      server.run()
2026-01-11T04:34:23.410591172Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 67, in run
2026-01-11T04:34:23.410595894Z [err]      return asyncio.run(self.serve(sockets=sockets))
2026-01-11T04:34:23.410602019Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.411574389Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.411583845Z [err]    File "/usr/local/lib/python3.11/asyncio/base_events.py", line 654, in run_until_complete
2026-01-11T04:34:23.411591588Z [err]      return future.result()
2026-01-11T04:34:23.411598649Z [err]             ^^^^^^^^^^^^^^^
2026-01-11T04:34:23.411605775Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 71, in serve
2026-01-11T04:34:23.411615871Z [err]      await self._serve(sockets)
2026-01-11T04:34:23.411622692Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 78, in _serve
2026-01-11T04:34:23.411629149Z [err]      config.load()
2026-01-11T04:34:23.411635836Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/config.py", line 436, in load
2026-01-11T04:34:23.411641841Z [err]      self.loaded_app = import_from_string(self.app)
2026-01-11T04:34:23.411647753Z [err]                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.411653714Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/importer.py", line 19, in import_from_string
2026-01-11T04:34:23.411659755Z [err]      module = importlib.import_module(module_str)
2026-01-11T04:34:23.412833050Z [err]               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.412837482Z [err]    File "/app/app/main.py", line 4, in <module>
2026-01-11T04:34:23.412845916Z [err]  ^^^
2026-01-11T04:34:23.412854628Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2026-01-11T04:34:23.412862375Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2026-01-11T04:34:23.412869880Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.412877632Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2026-01-11T04:34:23.412884304Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2026-01-11T04:34:23.412891765Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2026-01-11T04:34:23.412898185Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2026-01-11T04:34:23.412905534Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2026-01-11T04:34:23.412913360Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2026-01-11T04:34:23.716003155Z [err]                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.716008233Z [err]  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:23.716015050Z [err]  pydantic_core._pydantic_core.ValidationError: 1 validation error for Settings
2026-01-11T04:34:23.716022171Z [err]  PAGE_ID
2026-01-11T04:34:23.716029263Z [err]    Field required [type=missing, input_value={'INSTAGRAM_ACCESS_TOKEN'... 'AGENT_MODE': 'social'}, input_type=dict]
2026-01-11T04:34:23.716036574Z [err]      For further information visit https://errors.pydantic.dev/2.11/v/missing
2026-01-11T04:34:23.716127787Z [err]      from app.api import router
2026-01-11T04:34:23.716132469Z [err]    File "/app/app/api/__init__.py", line 6, in <module>
2026-01-11T04:34:23.716137519Z [err]      from app.channels.telegram.webhook import router as telegram_router
2026-01-11T04:34:23.716143074Z [err]    File "/app/app/channels/telegram/__init__.py", line 11, in <module>
2026-01-11T04:34:23.716148093Z [err]      from .handler import TelegramChannel
2026-01-11T04:34:23.716152780Z [err]    File "/app/app/channels/telegram/handler.py", line 13, in <module>
2026-01-11T04:34:23.716157410Z [err]      from app.config import settings
2026-01-11T04:34:23.716161879Z [err]    File "/app/app/config.py", line 125, in <module>
2026-01-11T04:34:23.716167043Z [err]      settings: Settings = get_settings()
2026-01-11T04:34:23.716171988Z [err]                           ^^^^^^^^^^^^^^
2026-01-11T04:34:23.716176764Z [err]    File "/app/app/config.py", line 122, in get_settings
2026-01-11T04:34:23.716181518Z [err]      return Settings()
2026-01-11T04:34:23.716186529Z [err]             ^^^^^^^^^^
2026-01-11T04:34:23.716191383Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic_settings/main.py", line 188, in __init__
2026-01-11T04:34:23.716196787Z [err]      super().__init__(
2026-01-11T04:34:23.716201051Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic/main.py", line 253, in __init__
2026-01-11T04:34:23.716205856Z [err]      validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
2026-01-11T04:34:26.329443622Z [inf]  >> imported app.api root
2026-01-11T04:34:26.394399653Z [err]  Traceback (most recent call last):
2026-01-11T04:34:26.394412645Z [err]    File "/usr/local/bin/uvicorn", line 8, in <module>
2026-01-11T04:34:26.394421555Z [err]      sys.exit(main())
2026-01-11T04:34:26.394429172Z [err]            
2026-01-11T04:34:26.394436402Z [err]     ^^^^^^
2026-01-11T04:34:26.394444472Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1485, in __call__
2026-01-11T04:34:26.394452185Z [err]      return self.main(*args, **kwargs)
2026-01-11T04:34:26.394465614Z [err]            
2026-01-11T04:34:26.398704094Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.398715589Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.398723661Z [err]  ^^^^^^^
2026-01-11T04:34:26.398731560Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1406, in main
2026-01-11T04:34:26.398739066Z [err]      rv = self.invoke(ctx)
2026-01-11T04:34:26.398746289Z [err]           ^
2026-01-11T04:34:26.403461205Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.403472284Z [err]  ^^^^^
2026-01-11T04:34:26.403480474Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1269, in invoke
2026-01-11T04:34:26.403488065Z [err]      return ctx.invoke(self.callback, **ctx.params)
2026-01-11T04:34:26.403496950Z [err]            
2026-01-11T04:34:26.403506202Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.406547228Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.406557430Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.406564934Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.406573876Z [err]  
2026-01-11T04:34:26.406580881Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 824, in invoke
2026-01-11T04:34:26.406608303Z [err]      return callback(*args, **kwargs)
2026-01-11T04:34:26.406616841Z [err]            
2026-01-11T04:34:26.409718467Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.409732345Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.409743774Z [err]  ^^^^^^
2026-01-11T04:34:26.409751112Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 413, in main
2026-01-11T04:34:26.409758525Z [err]      run(
2026-01-11T04:34:26.409765688Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 580, in run
2026-01-11T04:34:26.409772848Z [err]      server.run()
2026-01-11T04:34:26.409781390Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 67, in run
2026-01-11T04:34:26.409792939Z [err]      return asyncio.run(self.serve(sockets=sockets))
2026-01-11T04:34:26.410742487Z [err]            
2026-01-11T04:34:26.410754213Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.410761579Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.410767645Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.411654992Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.411668163Z [err]  ^
2026-01-11T04:34:26.411677777Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 190, in run
2026-01-11T04:34:26.411686552Z [err]      return runner.run(main)
2026-01-11T04:34:26.411694586Z [err]            
2026-01-11T04:34:26.411702987Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.411711493Z [err]  ^^^^^^^
2026-01-11T04:34:26.411725403Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 118, in run
2026-01-11T04:34:26.412715956Z [err]      return self._loop.run_until_complete(task)
2026-01-11T04:34:26.412726807Z [err]            
2026-01-11T04:34:26.412735004Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.412742080Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.412748567Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.413343698Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 71, in serve
2026-01-11T04:34:26.413348592Z [err]  ^^^^^^
2026-01-11T04:34:26.413355391Z [err]      await self._serve(sockets)
2026-01-11T04:34:26.413362200Z [err]    File "/usr/local/lib/python3.11/asyncio/base_events.py", line 654, in run_until_complete
2026-01-11T04:34:26.413366385Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 78, in _serve
2026-01-11T04:34:26.413372269Z [err]      return future.result()
2026-01-11T04:34:26.413380548Z [err]            
2026-01-11T04:34:26.413387728Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.413395005Z [err]  ^^^^^^
2026-01-11T04:34:26.414465577Z [err]      config.load()
2026-01-11T04:34:26.414476473Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/config.py", line 436, in load
2026-01-11T04:34:26.414485045Z [err]      self.loaded_app = import_from_string(self.app)
2026-01-11T04:34:26.414494230Z [err]            
2026-01-11T04:34:26.414502678Z [err]            
2026-01-11T04:34:26.414511368Z [err]    ^^^^^^^^
2026-01-11T04:34:26.414969688Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.414975577Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.414980051Z [err]  
2026-01-11T04:34:26.414984676Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/importer.py", line 19, in import_from_string
2026-01-11T04:34:26.414991331Z [err]      module = importlib.import_module(module_str)
2026-01-11T04:34:26.414995977Z [err]            
2026-01-11T04:34:26.415000284Z [err]     ^^^^^^^
2026-01-11T04:34:26.416173238Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.416181464Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.416189043Z [err]  ^^^^^^^^
2026-01-11T04:34:26.416197646Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2026-01-11T04:34:26.416205176Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2026-01-11T04:34:26.416212576Z [err]            
2026-01-11T04:34:26.416822216Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.416828007Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.416833186Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.416837336Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.417704795Z [err]  ^^^^^^^^^^
2026-01-11T04:34:26.417710799Z [err]  ^^^
2026-01-11T04:34:26.417715542Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2026-01-11T04:34:26.417719911Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2026-01-11T04:34:26.417726830Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2026-01-11T04:34:26.417733217Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2026-01-11T04:34:26.417741630Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2026-01-11T04:34:26.417748033Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2026-01-11T04:34:26.417755083Z [err]    File "/app/app/main.py", line 4, in <module>
2026-01-11T04:34:26.417762538Z [err]      from app.api import router
2026-01-11T04:34:26.417769868Z [err]    File "/app/app/api/__init__.py", line 6, in <module>
2026-01-11T04:34:26.417776515Z [err]      from app.channels.telegram.webhook import router as telegram_router
2026-01-11T04:34:26.417784809Z [err]    File "/app/app/channels/telegram/__init__.py", line 11, in <module>
2026-01-11T04:34:26.417792415Z [err]      from .handler import TelegramChannel
2026-01-11T04:34:26.417800560Z [err]    File "/app/app/channels/telegram/handler.py", line 13, in <module>
2026-01-11T04:34:26.419470007Z [err]      from app.config import settings
2026-01-11T04:34:26.419478525Z [err]    File "/app/app/config.py", line 125, in <module>
2026-01-11T04:34:26.419484646Z [err]      settings: Settings = get_settings()
2026-01-11T04:34:26.419490635Z [err]            
2026-01-11T04:34:26.419496305Z [err]            
2026-01-11T04:34:26.419502445Z [err]       ^^^^^
2026-01-11T04:34:26.420491091Z [err]  ^^^^^^^^^
2026-01-11T04:34:26.420497470Z [err]    File "/app/app/config.py", line 122, in get_settings
2026-01-11T04:34:26.420502391Z [err]      return Settings()
2026-01-11T04:34:26.420507518Z [err]            
2026-01-11T04:34:26.420513568Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.420520453Z [err]  ^
2026-01-11T04:34:26.420527656Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic_settings/main.py", line 188, in __init__
2026-01-11T04:34:26.420534356Z [err]      super().__init__(
2026-01-11T04:34:26.420540793Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic/main.py", line 253, in __init__
2026-01-11T04:34:26.420547983Z [err]      validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
2026-01-11T04:34:26.421475998Z [err]            
2026-01-11T04:34:26.421481977Z [err]            
2026-01-11T04:34:26.421486411Z [err]   ^^^^^^^^^
2026-01-11T04:34:26.421500906Z [err]  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:26.421505268Z [err]  ^^^^^^^^^^^^^^
2026-01-11T04:34:26.422203794Z [err]  pydantic_core._pydantic_core.ValidationError: 1 validation error for Settings
2026-01-11T04:34:26.422208333Z [err]  PAGE_ID
2026-01-11T04:34:26.422212890Z [err]    Field required [type=missing, input_value={'INSTAGRAM_ACCESS_TOKEN'... 'AGENT_MODE': 'social'}, input_type=dict]
2026-01-11T04:34:26.422218477Z [err]      For further information visit https://errors.pydantic.dev/2.11/v/missing
2026-01-11T04:34:28.810147149Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810147513Z [inf]  >> imported app.api root
2026-01-11T04:34:28.810156088Z [err]  Traceback (most recent call last):
2026-01-11T04:34:28.810159348Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 190, in run
2026-01-11T04:34:28.810163962Z [err]    File "/usr/local/bin/uvicorn", line 8, in <module>
2026-01-11T04:34:28.810168067Z [err]      return runner.run(main)
2026-01-11T04:34:28.810175754Z [err]      sys.exit(main())
2026-01-11T04:34:28.810177946Z [err]             ^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810183203Z [err]               ^^^^^^
2026-01-11T04:34:28.810189940Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1485, in __call__
2026-01-11T04:34:28.810216248Z [err]      return self.main(*args, **kwargs)
2026-01-11T04:34:28.810222467Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810228576Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1406, in main
2026-01-11T04:34:28.810235784Z [err]      rv = self.invoke(ctx)
2026-01-11T04:34:28.810242912Z [err]           ^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810249227Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1269, in invoke
2026-01-11T04:34:28.810255779Z [err]      return ctx.invoke(self.callback, **ctx.params)
2026-01-11T04:34:28.810477551Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810501190Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 824, in invoke
2026-01-11T04:34:28.810505593Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 118, in run
2026-01-11T04:34:28.810518589Z [err]      return callback(*args, **kwargs)
2026-01-11T04:34:28.810522753Z [err]      return self._loop.run_until_complete(task)
2026-01-11T04:34:28.810533885Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810540487Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 413, in main
2026-01-11T04:34:28.810549828Z [err]      run(
2026-01-11T04:34:28.810553988Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810569330Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 580, in run
2026-01-11T04:34:28.810569732Z [err]    File "/usr/local/lib/python3.11/asyncio/base_events.py", line 654, in run_until_complete
2026-01-11T04:34:28.810582749Z [err]      return future.result()
2026-01-11T04:34:28.810590541Z [err]      server.run()
2026-01-11T04:34:28.810597531Z [err]             ^^^^^^^^^^^^^^^
2026-01-11T04:34:28.810609913Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 67, in run
2026-01-11T04:34:28.810614991Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 71, in serve
2026-01-11T04:34:28.810628099Z [err]      return asyncio.run(self.serve(sockets=sockets))
2026-01-11T04:34:28.810631869Z [err]      await self._serve(sockets)
2026-01-11T04:34:28.810638331Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 78, in _serve
2026-01-11T04:34:28.810643334Z [err]      config.load()
2026-01-11T04:34:28.810647756Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/config.py", line 436, in load
2026-01-11T04:34:28.810652135Z [err]      self.loaded_app = import_from_string(self.app)
2026-01-11T04:34:28.818004263Z [err]                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.818017688Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/importer.py", line 19, in import_from_string
